A	8	01100000
B	7	0110000
C	8	01100000
DRB1	6	010000
DQA1	4	0100
DQB1	6	010000
DPA1	4	0100
DPB1	5	01000
DMA	5	01100
DMB	6	010000
DOA	5	01000
DOB	6	011000
DRA	4	0110
DRB2	6	101111
DRB3	6	010000
DRB4	6	010000
DRB5	6	010000
DRB6	6	010000
DRB7	6	010000
DRB8	6	001111
DRB9	2	01
E	8	01100000
F	8	01100000
G	6	011000
H	8	01100000
J	8	01100000
K	8	01100000
L	8	01100000
V	3	111
